id,media_type,title,date,popularity,vote_average,vote_count,original_language,genres,week,genre
273240,tv,Off Campus,2026-05-13,747.3951,9.123,317.0,en,Drama,2026-05-31,Drama
124364,tv,FROM,2022-02-20,651.8833,8.427,3402.0,en,Mystery; Drama; Sci-Fi & Fantasy,2026-05-31,Mystery
124364,tv,FROM,2022-02-20,651.8833,8.427,3402.0,en,Mystery; Drama; Sci-Fi & Fantasy,2026-05-31,Drama
124364,tv,FROM,2022-02-20,651.8833,8.427,3402.0,en,Mystery; Drama; Sci-Fi & Fantasy,2026-05-31,Sci-Fi & Fantasy
76479,tv,The Boys,2019-07-25,601.9648,8.5,12775.0,en,Sci-Fi & Fantasy; Action & Adventure,2026-05-31,Sci-Fi & Fantasy
76479,tv,The Boys,2019-07-25,601.9648,8.5,12775.0,en,Sci-Fi & Fantasy; Action & Adventure,2026-05-31,Action & Adventure
1304313,movie,Lee Cronin's The Mummy,2026-04-15,592.8248,8.061,1440.0,en,Horror; Mystery,2026-05-31,Horror
1304313,movie,Lee Cronin's The Mummy,2026-04-15,592.8248,8.061,1440.0,en,Horror; Mystery,2026-05-31,Mystery
1304313,movie,Lee Cronin's The Mummy,2026-04-15,592.8248,8.062,1439.0,en,Horror; Mystery,2026-05-31,Horror
1304313,movie,Lee Cronin's The Mummy,2026-04-15,592.8248,8.062,1439.0,en,Horror; Mystery,2026-05-31,Mystery
220102,tv,Spider-Noir,2026-05-25,575.9034,8.869,245.0,en,Crime; Drama; Mystery,2026-05-31,Crime
220102,tv,Spider-Noir,2026-05-25,575.9034,8.869,245.0,en,Crime; Drama; Mystery,2026-05-31,Drama
220102,tv,Spider-Noir,2026-05-25,575.9034,8.869,245.0,en,Crime; Drama; Mystery,2026-05-31,Mystery
1339713,movie,Obsession,2026-05-13,460.0665,7.992,393.0,en,Horror,2026-05-31,Horror
1380291,movie,Tom Clancy's Jack Ryan: Ghost War,2026-05-20,376.1243,7.157,416.0,en,Action; Thriller,2026-05-31,Action
1380291,movie,Tom Clancy's Jack Ryan: Ghost War,2026-05-20,376.1243,7.157,416.0,en,Action; Thriller,2026-05-31,Thriller
1439930,movie,The Punisher: One Last Kill,2026-05-12,311.9086,8.4,1348.0,en,Action; Drama; Crime,2026-05-31,Action
1439930,movie,The Punisher: One Last Kill,2026-05-12,311.9086,8.4,1348.0,en,Action; Drama; Crime,2026-05-31,Drama
1439930,movie,The Punisher: One Last Kill,2026-05-12,311.9086,8.4,1348.0,en,Action; Drama; Crime,2026-05-31,Crime
687163,movie,Project Hail Mary,2026-03-15,294.0202,8.6,4417.0,en,Science Fiction; Adventure,2026-05-31,Science Fiction
687163,movie,Project Hail Mary,2026-03-15,294.0202,8.6,4417.0,en,Science Fiction; Adventure,2026-05-31,Adventure
