id,media_type,title,date,popularity,vote_average,vote_count,original_language,genres
1156594,movie,Our Fault,2025-10-15,1170.7528,7.98,245,es,Romance; Drama
1038392,movie,The Conjuring: Last Rites,2025-09-03,321.6263,6.97,1033,en,Horror
286801,tv,Monster: The Ed Gein Story,2025-10-03,217.157,7.399,247,en,Drama; Crime
617126,movie,The Fantastic 4: First Steps,2025-07-23,181.7035,7.122,2014,en,Science Fiction; Adventure
1010756,movie,The Strangers: Chapter 2,2025-09-25,179.8065,5.657,54,en,Horror; Thriller
1290879,movie,The Woman in Cabin 10,2025-10-09,159.3791,6.235,359,en,Mystery; Thriller; Crime
575265,movie,Mission: Impossible - The Final Reckoning,2025-05-17,144.9276,7.274,1958,en,Action; Adventure; Thriller
63926,tv,One-Punch Man,2015-10-05,137.6047,8.398,3854,ja,Animation; Comedy; Action & Adventure; Sci-Fi & Fantasy
1197137,movie,Black Phone 2,2025-10-15,130.2043,7.4,59,en,Horror; Thriller
927254,movie,The Twits,2025-10-17,129.4968,7.588,17,en,Animation; Comedy; Family; Fantasy
153312,tv,Tulsa King,2022-11-13,128.2197,8.322,2305,en,Crime; Drama; Comedy
533533,movie,TRON: Ares,2025-10-08,125.3038,6.41,251,en,Science Fiction; Adventure; Action
1061474,movie,Superman,2025-07-09,120.3015,7.442,3626,en,Science Fiction; Adventure; Action
7451,movie,xXx,2002-08-09,118.5572,5.964,4589,en,Action; Adventure; Thriller; Crime
1078605,movie,Weapons,2025-08-04,98.4557,7.387,1923,en,Horror; Mystery
205715,tv,Gen V,2023-09-28,96.1232,7.718,1191,en,Action & Adventure; Drama; Sci-Fi & Fantasy
1241921,movie,A Big Bold Beautiful Journey,2025-09-17,75.6941,6.411,141,en,Romance; Fantasy; Drama
2190,tv,South Park,1997-08-13,70.9445,8.347,4711,en,Animation; Comedy
1275151,movie,She Walks in Darkness,2025-10-03,69.1494,6.425,20,es,Drama; Thriller
37854,tv,One Piece,1999-10-20,21.4393,8.723,5015,ja,Action & Adventure; Comedy; Animation
